Topic,Category,Summary,Reference URL,Difficulty
Normalization,DBMS,Overview of Normalization in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
ACID Properties,DBMS,Overview of ACID Properties in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
ER Model,DBMS,Overview of ER Model in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
Relational Algebra,DBMS,Overview of Relational Algebra in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
SQL Joins,DBMS,Overview of SQL Joins in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
Indexes in DBMS,DBMS,Overview of Indexes in DBMS in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
Deadlock Handling,DBMS,Overview of Deadlock Handling in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
Backup & Recovery,DBMS,Overview of Backup & Recovery in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
Triggers,DBMS,Overview of Triggers in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
Views,DBMS,Overview of Views in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
Distributed Databases,DBMS,Overview of Distributed Databases in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
NoSQL Databases,DBMS,Overview of NoSQL Databases in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
CAP Theorem,DBMS,Overview of CAP Theorem in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
Transactions,DBMS,Overview of Transactions in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
Query Processing,DBMS,Overview of Query Processing in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
Functional Dependencies,DBMS,Overview of Functional Dependencies in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
BCNF,DBMS,Overview of BCNF in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
Data Warehousing,DBMS,Overview of Data Warehousing in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
Data Mining Basics,DBMS,Overview of Data Mining Basics in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
OLAP Operations,DBMS,Overview of OLAP Operations in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
Database Security,DBMS,Overview of Database Security in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
Hashing,DBMS,Overview of Hashing in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
File Organization,DBMS,Overview of File Organization in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
Database Tuning,DBMS,Overview of Database Tuning in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
Concurrency Control,DBMS,Overview of Concurrency Control in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
Two-Phase Locking,DBMS,Overview of Two-Phase Locking in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
Database Replication,DBMS,Overview of Database Replication in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
Sharding,DBMS,Overview of Sharding in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
Stored Procedures,DBMS,Overview of Stored Procedures in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
Cursor Management,DBMS,Overview of Cursor Management in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
Schema Design,DBMS,Overview of Schema Design in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
Database Normal Forms,DBMS,Overview of Database Normal Forms in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
Data Independence,DBMS,Overview of Data Independence in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
Record Storage,DBMS,Overview of Record Storage in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
Database Logs,DBMS,Overview of Database Logs in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
Query Execution Plans,DBMS,Overview of Query Execution Plans in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
Materialized Views,DBMS,Overview of Materialized Views in DBMS,https://www.geeksforgeeks.org/dbms/,Beginner
RDBMS Architecture,DBMS,Overview of RDBMS Architecture in DBMS,https://www.geeksforgeeks.org/dbms/,Intermediate
Database Connectivity (JDBC),DBMS,Overview of Database Connectivity (JDBC) in DBMS,https://www.geeksforgeeks.org/dbms/,Advanced
Introduction to AI,AI,Overview of Introduction to AI in AI,https://www.tensorflow.org/,Beginner
Machine Learning Types,AI,Overview of Machine Learning Types in AI,https://www.tensorflow.org/,Intermediate
Supervised Learning,AI,Overview of Supervised Learning in AI,https://www.tensorflow.org/,Advanced
Unsupervised Learning,AI,Overview of Unsupervised Learning in AI,https://www.tensorflow.org/,Beginner
Reinforcement Learning,AI,Overview of Reinforcement Learning in AI,https://www.tensorflow.org/,Intermediate
Neural Networks,AI,Overview of Neural Networks in AI,https://www.tensorflow.org/,Advanced
Deep Learning,AI,Overview of Deep Learning in AI,https://www.tensorflow.org/,Beginner
CNNs,AI,Overview of CNNs in AI,https://www.tensorflow.org/,Intermediate
RNNs,AI,Overview of RNNs in AI,https://www.tensorflow.org/,Advanced
Transformers,AI,Overview of Transformers in AI,https://www.tensorflow.org/,Beginner
Natural Language Processing,AI,Overview of Natural Language Processing in AI,https://www.tensorflow.org/,Intermediate
Sentiment Analysis,AI,Overview of Sentiment Analysis in AI,https://www.tensorflow.org/,Advanced
Speech Recognition,AI,Overview of Speech Recognition in AI,https://www.tensorflow.org/,Beginner
Computer Vision,AI,Overview of Computer Vision in AI,https://www.tensorflow.org/,Intermediate
Generative Models,AI,Overview of Generative Models in AI,https://www.tensorflow.org/,Advanced
GANs,AI,Overview of GANs in AI,https://www.tensorflow.org/,Beginner
Predictive Analytics,AI,Overview of Predictive Analytics in AI,https://www.tensorflow.org/,Intermediate
Expert Systems,AI,Overview of Expert Systems in AI,https://www.tensorflow.org/,Advanced
Knowledge Representation,AI,Overview of Knowledge Representation in AI,https://www.tensorflow.org/,Beginner
Fuzzy Logic,AI,Overview of Fuzzy Logic in AI,https://www.tensorflow.org/,Intermediate
Robotics in AI,AI,Overview of Robotics in AI in AI,https://www.tensorflow.org/,Advanced
Search Algorithms,AI,Overview of Search Algorithms in AI,https://www.tensorflow.org/,Beginner
A* Algorithm,AI,Overview of A* Algorithm in AI,https://www.tensorflow.org/,Intermediate
Bayesian Networks,AI,Overview of Bayesian Networks in AI,https://www.tensorflow.org/,Advanced
Markov Models,AI,Overview of Markov Models in AI,https://www.tensorflow.org/,Beginner
Evolutionary Algorithms,AI,Overview of Evolutionary Algorithms in AI,https://www.tensorflow.org/,Intermediate
Swarm Intelligence,AI,Overview of Swarm Intelligence in AI,https://www.tensorflow.org/,Advanced
AI Ethics,AI,Overview of AI Ethics in AI,https://www.tensorflow.org/,Beginner
AI Bias,AI,Overview of AI Bias in AI,https://www.tensorflow.org/,Intermediate
